Author,Song Name
Rabindra Nath Tagore,এরা সুখের লাগি চাহে প্রেম
Rabindra Nath Tagore,যে কেবল পালিয়ে বেড়ায়
Rabindra Nath Tagore,ধায় যেন মোর সকল ভালোবাসা
Rabindra Nath Tagore,"ফুল বলে, ধন্য আমি"
Rabindra Nath Tagore,এসো শ্যামল সুন্দর
Rabindra Nath Tagore,আজি শুভদিনে পিতার ভবনে
Rabindra Nath Tagore,আমায় মুক্তি যদি দাও
Rabindra Nath Tagore,ছিন্ন পাতার সাজাই তরণী
Rabindra Nath Tagore,আমার বেলা যে যায় সাঁঝ-বেলাতে
Rabindra Nath Tagore,তুমি কেমন করে গান কর হে গুণী
Rabindra Nath Tagore,তুমি নব নব রূপে এসো প্রাণে
Rabindra Nath Tagore,বহু যুগের ও পার হতে আষাঢ় এল আমার মনে
Rabindra Nath Tagore,আমি চঞ্চল হে
Rabindra Nath Tagore,ফিরে চল্‌ মাটির টানে
Rabindra Nath Tagore,দাঁড়িয়ে আছ তুমি আমার গানের ও পারে
Rabindra Nath Tagore,তোমারেই করিয়াছি জীবনের ধ্রুবতারা
Rabindra Nath Tagore,আমি তখন ছিলেম মগন গহন ঘুমের ঘোরে
Rabindra Nath Tagore,চরণ ধরিতে দিয়ো গো আমারে
Rabindra Nath Tagore,বাংলার মাটি বাংলার জল
Rabindra Nath Tagore,আজি নাহি নাহি নিদ্রা আঁখিপাতে
Rabindra Nath Tagore,আষাঢ় সন্ধ্যা ঘনিয়ে এল
Rabindra Nath Tagore,ভেবেছিলেম আসবে ফিরে
Rabindra Nath Tagore,আমার রাত পোহালো শারদ প্রাতে
Rabindra Nath Tagore,বরিষ ধরা মাঝে শান্তির বারি
Rabindra Nath Tagore,শ্রাবণমেঘের আধেক দুয়ার ওই খোলা
Rabindra Nath Tagore,হে নবীনা
Rabindra Nath Tagore,এসো আমার ঘরে
Rabindra Nath Tagore,তিমির-অবগুণ্ঠনে বদন তব
Rabindra Nath Tagore,কে বলে ‘যাও যাও’– আমার যাওয়া তো নয় যাওয়া
Rabindra Nath Tagore,ওগো আমার শ্রাবণ মেঘের
Rabindra Nath Tagore,"জানি জানি, তুমি এসেছ এ পথে"
Rabindra Nath Tagore,তোমারি সেবক করো হে
Rabindra Nath Tagore,তোমার এই মাধুরী ছাপিয়ে আকাশ ঝরবে
Rabindra Nath Tagore,আমার খেলা যখন ছিল
Rabindra Nath Tagore,ওগো সাঁওতালি ছেলে
Rabindra Nath Tagore,দিনের বেলায় বাঁশি তোমার বাজিয়েছিলে অনেক সুরে
Rabindra Nath Tagore,ওগো জলের রানী
Rabindra Nath Tagore,এসো নীপবনে ছায়াবীথি তলে
Rabindra Nath Tagore,"ওরে ঝড় নেমে আয়, আয় রে আমার শুকনো পাতার ডালে"
Rabindra Nath Tagore,অসীম কালসাগরে ভুবন ভেসে চলেছে
Rabindra Nath Tagore,আমার বেলা যে যায়
Rabindra Nath Tagore,প্রভু আমার প্রিয় আমার পরম ধন হে
Rabindra Nath Tagore,শরৎ তোমার অরুণ আলোর অঞ্জলি
Rabindra Nath Tagore,বাকি আমি রাখব না কিছুই
Rabindra Nath Tagore,"ওরে বকুল পারুল, ওরে শাল পিয়ালের বন"
Rabindra Nath Tagore,দুয়ারে দাও মোরে রাখিয়া নিত্য
Rabindra Nath Tagore,শীতের হাওয়ার লাগল নাচন আম্‌লকির এই ডালে ডালে।
Rabindra Nath Tagore,"ওলো সই, ওলো সই"
Rabindra Nath Tagore,সেই তো আমি চাই
Rabindra Nath Tagore,কত অজানারে জানাইলে তুমি
Rabindra Nath Tagore,আকাশ হতে খসল তারা আঁধার রাতে পথহারা
Rabindra Nath Tagore,আরো কিছুক্ষণ নাহয় বসিয়ো পাশে
Rabindra Nath Tagore,পিনাকেতে লাগে টংকার
Rabindra Nath Tagore,"শ্যামল শোভন শ্রাবণ, তুমি নাই বা গেলে"
Rabindra Nath Tagore,এই কথাটাই ছিলেম ভুলে
Rabindra Nath Tagore,দুঃখ যদি না পাবে তো
Rabindra Nath Tagore,বিদায় করেছ যারে নয়ন জলে
Rabindra Nath Tagore,তোমায় গান শোনাব তাই
Rabindra Nath Tagore,আলোর অমল কমলখানি কে ফুটালে
Rabindra Nath Tagore,অনেক দিনের মনের মানুষ
Rabindra Nath Tagore,যা হবার তা হবে
Rabindra Nath Tagore,হৃদয় আমার ঐ বুঝি তোর ফাল্গুনী ঢেউ আসে
Rabindra Nath Tagore,জানি নাই গো সাধন তোমার
