Author,Song Name,File Name,File Path
Amzad Hossain,আমি আছি থাকবো,song10_আমি আছি থাকবো.docx,Data/Amzad Hossain/song10_আমি আছি থাকবো.docx
Amzad Hossain,তোমার দুনিয়া দেখিয়া শুনিয়া,song1_তোমার দুনিয়া দেখিয়া শুনিয়া.docx,Data/Amzad Hossain/song1_তোমার দুনিয়া দেখিয়া শুনিয়া.docx
Amzad Hossain,কেউ কোনদিন আমারে তো কথা দিল না,song7_কেউ কোনদিন আমারে তো কথা দিল না.docx,Data/Amzad Hossain/song7_কেউ কোনদিন আমারে তো কথা দিল না.docx
Amzad Hossain,জন্ম থেকে জ্বলছি মাগো,song3_জন্ম থেকে জ্বলছি মাগো.docx,Data/Amzad Hossain/song3_জন্ম থেকে জ্বলছি মাগো.docx
Amzad Hossain,একবার যদি কেউ ভালোবাসতো,song9_একবার যদি কেউ ভালোবাসতো.docx,Data/Amzad Hossain/song9_একবার যদি কেউ ভালোবাসতো.docx
Amzad Hossain,বাবা বলে গেল আর কোন দিন গান করো না,song8_বাবা বলে গেল আর কোন দিন গান করো না.docx,Data/Amzad Hossain/song8_বাবা বলে গেল আর কোন দিন গান করো না.docx
Farhan,নিশ্চুপ আধার,song2_নিশ্চুপ আধার.docx,Data/Farhan/song2_নিশ্চুপ আধার.docx
Farhan,স্বদেশ (বলেছিলে তুমি আমায়),song4_স্বদেশ (বলেছিলে তুমি আমায়).docx,Data/Farhan/song4_স্বদেশ (বলেছিলে তুমি আমায়).docx
Farhan,দ্বিতীয় জীবন,song5_দ্বিতীয় জীবন.docx,Data/Farhan/song5_দ্বিতীয় জীবন.docx
Farhan,অন্যকেউ,song3_অন্যকেউ.docx,Data/Farhan/song3_অন্যকেউ.docx
Farhan,ঘুম,song1_ঘুম.docx,Data/Farhan/song1_ঘুম.docx
Nochiketa,ভয়,song9_ভয়.docx,Data/Nochiketa/song9_ভয়.docx
Nochiketa,যদি হঠাৎ আবার দেখা হয় দুজনার,song16_যদি হঠাৎ আবার দেখা হয় দুজনার.docx,Data/Nochiketa/song16_যদি হঠাৎ আবার দেখা হয় দুজনার.docx
Nochiketa,হারিয়ে যাওয়া সেই গানের কলি,song13_হারিয়ে যাওয়া সেই গানের কলি.docx,Data/Nochiketa/song13_হারিয়ে যাওয়া সেই গানের কলি.docx
Nochiketa,চল যাব তোকে নিয়ে,song15_চল যাব তোকে নিয়ে.docx,Data/Nochiketa/song15_চল যাব তোকে নিয়ে.docx
